Date,Open,High,Low,Close,Adj Close,Volume
1992-06-26,0.328125,0.347656,0.320313,0.335938,0.268461,224358400
1992-06-29,0.339844,0.367188,0.332031,0.359375,0.287190,58732800
1992-06-30,0.367188,0.371094,0.343750,0.347656,0.277825,34777600
1992-07-01,0.351563,0.359375,0.339844,0.355469,0.284069,18316800
1992-07-02,0.359375,0.359375,0.347656,0.355469,0.284069,13996800
1992-07-06,0.351563,0.355469,0.347656,0.355469,0.284069,5753600
1992-07-07,0.355469,0.355469,0.347656,0.355469,0.284069,10662400
1992-07-08,0.355469,0.355469,0.343750,0.347656,0.277825,15500800
1992-07-09,0.351563,0.359375,0.347656,0.359375,0.287190,3923200
1992-07-10,0.359375,0.367188,0.351563,0.363281,0.290312,11040000
1992-07-13,0.363281,0.371094,0.359375,0.371094,0.296555,5996800
1992-07-14,0.371094,0.382813,0.367188,0.371094,0.296555,17062400
1992-07-15,0.375000,0.382813,0.371094,0.382813,0.305920,4992000
1992-07-16,0.382813,0.414063,0.378906,0.408203,0.326210,17062400
1992-07-17,0.410156,0.437500,0.398438,0.429688,0.343380,15667200
1992-07-20,0.427734,0.437500,0.417969,0.433594,0.346501,19744000
1992-07-21,0.437500,0.445313,0.429688,0.437500,0.349623,7782400
1992-07-22,0.433594,0.437500,0.421875,0.433594,0.346501,10892800
1992-07-23,0.433594,0.441406,0.425781,0.441406,0.352744,10387200
1992-07-24,0.433594,0.449219,0.429688,0.445313,0.355867,7052800
1992-07-27,0.449219,0.464844,0.445313,0.455078,0.363670,11430400
1992-07-28,0.460938,0.464844,0.429688,0.437500,0.349623,18009600
1992-07-29,0.437500,0.437500,0.406250,0.416016,0.332454,30848000
1992-07-30,0.410156,0.417969,0.402344,0.414063,0.330893,11737600
1992-07-31,0.414063,0.417969,0.406250,0.416016,0.332454,6886400
1992-08-03,0.410156,0.425781,0.410156,0.419922,0.335576,4832000
1992-08-04,0.421875,0.429688,0.412109,0.427734,0.341819,6822400
1992-08-05,0.425781,0.425781,0.402344,0.410156,0.327771,9516800
1992-08-06,0.406250,0.410156,0.398438,0.410156,0.327771,3673600
1992-08-07,0.410156,0.425781,0.398438,0.425781,0.340258,8825600
1992-08-10,0.417969,0.433594,0.414063,0.425781,0.340258,5888000
1992-08-11,0.433594,0.433594,0.421875,0.429688,0.343380,4147200
1992-08-12,0.421875,0.425781,0.402344,0.410156,0.327771,12736000
1992-08-13,0.410156,0.416016,0.402344,0.410156,0.327771,48320000
1992-08-14,0.406250,0.414063,0.382813,0.386719,0.309042,17849600
1992-08-17,0.390625,0.394531,0.382813,0.394531,0.315285,2681600
1992-08-18,0.382813,0.390625,0.382813,0.390625,0.312163,2860800
1992-08-19,0.382813,0.390625,0.382813,0.390625,0.312163,2380800
1992-08-20,0.390625,0.400391,0.378906,0.386719,0.309042,2489600
1992-08-21,0.386719,0.386719,0.378906,0.378906,0.302798,2048000
1992-08-24,0.382813,0.386719,0.375000,0.382813,0.305920,6905600
1992-08-25,0.375000,0.382813,0.375000,0.378906,0.302798,4128000
1992-08-26,0.375000,0.382813,0.359375,0.375000,0.299677,19385600
1992-08-27,0.378906,0.386719,0.375000,0.382813,0.305920,6169600
1992-08-28,0.382813,0.390625,0.378906,0.390625,0.312163,3417600
1992-08-31,0.390625,0.394531,0.382813,0.388672,0.310602,4441600
